time, sensor, 
0, 10,
1, 11,
2, 12,
3, 13,
4, 14,
5, 15,
6, 15,
7, 16,
8, 17,
9, 18,
10, 18,
11, 19,
12, 19,
13, 19,
14, 19,
15, 19,
16, 19,
17, 19,
18, 19,
19, 19,
20, 18,
21, 18,
22, 17,
23, 16,
24, 15,
25, 14,
26, 13,
27, 12,
28, 11,
29, 10,
30, 9,
31, 8,
32, 7,
33, 6,
34, 5,
35, 4,
36, 3,
37, 3,
38, 2,
39, 1,
40, 1,
41, 0,
42, 0,
43, 0,
44, 0,
45, 0,
46, 0,
47, 0,
48, 0,
49, 0,
50, 1,
51, 2,
52, 2,
53, 3,
54, 4,
55, 5,
56, 6,
57, 7,
58, 8,
59, 9,
60, 10,
61, 11,
62, 12,
63, 13,
64, 14,
65, 15,
66, 16,
67, 16,
68, 17,
69, 18,
70, 18,
71, 19,
72, 19,
73, 19,
74, 19,
75, 19,
76, 19,
77, 19,
78, 19,
79, 18,
80, 18,
81, 17,
82, 17,
83, 16,
84, 15,
85, 14,
86, 13,
87, 12,
88, 11,
89, 10,
90, 9,
91, 8,
92, 7,
93, 6,
94, 5,
95, 4,
96, 3,
97, 2,
98, 2,
99, 1,
100, 1,
101, 0,
102, 0,
103, 0,
104, 0,
105, 0,
106, 0,
107, 0,
108, 0,
109, 1,
110, 1,
111, 2,
112, 2,
113, 3,
114, 4,
115, 5,
116, 6,
117, 7,
118, 8,
119, 9,
120, 10,
121, 11,
122, 12,
123, 13,
124, 14,
125, 15,
126, 16,
127, 17,
128, 17,
129, 18,
130, 18,
131, 19,
132, 19,
133, 19,
134, 19,
135, 19,
136, 19,
137, 19,
138, 19,
139, 18,
140, 18,
141, 17,
142, 16,
143, 16,
144, 15,
145, 14,
146, 13,
147, 12,
148, 11,
149, 10,
150, 9,
151, 8,
152, 7,
153, 6,
154, 5,
155, 4,
156, 3,
157, 2,
158, 2,
159, 1,
160, 0,
161, 0,
162, 0,
163, 0,
164, 0,
165, 0,
166, 0,
167, 0,
168, 0,
169, 1,
170, 1,
171, 2,
172, 3,
173, 4,
174, 4,
175, 5,
176, 6,
177, 7,
178, 8,
179, 9,
180, 10,
181, 12,
182, 13,
183, 14,
184, 14,
185, 15,
186, 16,
187, 17,
188, 18,
189, 18,
190, 19,
191, 19,
192, 19,
193, 19,
194, 19,
195, 19,
196, 19,
197, 19,
198, 19,
199, 18,
200, 18,
201, 17,
202, 16,
203, 15,
204, 14,
205, 14,
206, 13,
207, 12,
208, 10,
209, 9,
210, 8,
211, 7,
212, 6,
213, 5,
214, 4,
215, 4,
216, 3,
217, 2,
218, 1,
219, 1,
220, 0,
221, 0,
222, 0,
223, 0,
224, 0,
225, 0,
226, 0,
227, 0,
228, 0,
229, 1,
230, 2,
231, 2,
232, 3,
233, 4,
234, 5,
235, 6,
236, 7,
237, 8,
238, 9,
239, 10,
240, 11,
241, 12,
242, 13,
243, 14,
244, 15,
245, 16,
246, 16,
247, 17,
248, 18,
249, 18,
250, 19,
251, 19,
252, 19,
253, 19,
254, 19,
255, 19,
256, 19,
257, 19,
258, 18,
259, 18,
260, 17,
261, 17,
262, 16,
263, 15,
264, 14,
265, 13,
266, 12,
267, 11,
268, 10,
269, 9,
270, 8,
271, 7,
272, 6,
273, 5,
274, 4,
275, 3,
276, 2,
277, 2,
278, 1,
279, 1,
280, 0,
281, 0,
282, 0,
283, 0,
284, 0,
285, 0,
286, 0,
287, 0,
288, 1,
289, 1,
290, 2,
291, 2,
292, 3,
293, 4,
294, 5,
295, 6,
296, 7,
297, 8,
298, 9,
299, 10,
300, 11,
301, 12,
302, 13,
303, 14,
304, 15,
305, 16,
306, 17,
307, 17,
308, 18,
309, 18,
310, 19,
311, 19,
312, 19,
313, 19,
314, 19,
315, 19,
316, 19,
317, 19,
318, 18,
319, 18,
320, 17,
321, 16,
322, 16,
323, 15,
324, 14,
325, 13,
326, 12,
327, 11,
328, 10,
329, 9,
330, 8,
331, 7,
332, 6,
333, 5,
334, 4,
335, 3,
336, 2,
337, 2,
338, 1,
339, 0,
340, 0,
341, 0,
342, 0,
343, 0,
344, 0,
345, 0,
346, 0,
347, 0,
348, 1,
349, 1,
350, 2,
351, 3,
352, 3,
353, 4,
354, 5,
355, 6,
356, 7,
357, 8,
358, 9,
359, 10,
360, 11,
361, 12,
362, 13,
363, 14,
364, 15,
365, 16,
366, 17,
367, 18,
368, 18,
369, 19,
370, 19,
371, 19,
372, 19,
373, 19,
374, 19,
375, 19,
376, 19,
377, 19,
378, 18,
379, 18,
380, 17,
381, 16,
382, 15,
383, 15,
384, 14,
385, 13,
386, 12,
387, 11,
388, 9,
389, 8,
390, 7,
391, 6,
392, 5,
393, 4,
394, 4,
395, 3,
396, 2,
397, 1,
398, 1,
399, 0,
400, 0,
401, 0,
402, 0,
403, 0,
404, 0,
405, 0,
406, 0,
407, 0,
408, 1,
409, 1,
410, 2,
411, 3,
412, 4,
413, 5,
414, 6,
415, 7,
416, 8,
417, 9,
418, 10,
419, 11,
420, 12,
421, 13,
422, 14,
423, 15,
424, 16,
425, 16,
426, 17,
427, 18,
428, 18,
429, 19,
430, 19,
431, 19,
432, 19,
433, 19,
434, 19,
435, 19,
436, 19,
437, 19,
438, 18,
439, 17,
440, 17,
441, 16,
442, 15,
443, 14,
444, 13,
445, 12,
446, 11,
447, 10,
448, 9,
449, 8,
450, 7,
451, 6,
452, 5,
453, 4,
454, 3,
455, 3,
456, 2,
457, 1,
458, 1,
459, 0,
460, 0,
461, 0,
462, 0,
463, 0,
464, 0,
465, 0,
466, 0,
467, 1,
468, 1,
469, 2,
470, 2,
471, 3,
472, 4,
473, 5,
474, 6,
475, 7,
476, 8,
477, 9,
478, 10,
479, 11,
480, 12,
481, 13,
482, 14,
483, 15,
484, 16,
485, 17,
486, 17,
487, 18,
488, 18,
489, 19,
490, 19,
491, 19,
492, 19,
493, 19,
494, 19,
495, 19,
496, 19,
497, 18,
498, 18,
499, 17,
500, 17,
501, 16,
502, 15,
503, 14,
504, 13,
505, 12,
506, 11,
507, 10,
508, 9,
509, 8,
510, 7,
511, 6,
512, 5,
513, 4,
514, 3,
515, 2,
516, 2,
517, 1,
518, 1,
519, 0,
520, 0,
521, 0,
522, 0,
523, 0,
524, 0,
525, 0,
526, 0,
527, 1,
528, 1,
529, 2,
530, 3,
531, 3,
532, 4,
533, 5,
534, 6,
535, 7,
536, 8,
537, 9,
538, 10,
539, 11,
540, 12,
541, 13,
542, 14,
543, 15,
544, 16,
545, 17,
546, 17,
547, 18,
548, 19,
549, 19,
550, 19,
551, 19,
552, 19,
553, 19,
554, 19,
555, 19,
556, 19,
557, 18,
558, 18,
559, 17,
560, 16,
561, 15,
562, 15,
563, 14,
564, 13,
565, 12,
566, 11,
567, 10,
568, 9,
569, 7,
570, 6,
571, 5,
572, 5,
573, 4,
574, 3,
575, 2,
576, 1,
577, 1,
578, 0,
579, 0,
580, 0,
581, 0,
582, 0,
583, 0,
584, 0,
585, 0,
586, 0,
587, 1,
588, 1,
589, 2,
590, 3,
591, 4,
592, 5,
593, 6,
594, 6,
595, 8,
596, 9,
